Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1741262028094,190, 51,B21222,3,Group 2,,,,,,
1741261671038,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1741261716267,,,,,,ItemPicked,Item Book_42 Picked.,4.504783 0.7161544 0.8149904,270 0.156652 0,0,False
1741261719589,,,,,,ItemDropped,Item Book_42 Dropped.,6.536202 0.9989598 0.5503619,316.1936 105.8026 254.2349,0,False
1741261724539,,,,,,ItemPicked,Item Book_42 Picked.,6.523964 -0.03022128 0.5614838,270.0949 5.016094 0,0,False
1741261725403,,,,,,ItemDropped,Item Book_42 Dropped.,6.566835 0.02423004 0.552914,284.7007 142.7491 219.6259,0,False
1741261728058,,,,,,ItemPicked,Item Book_42 Picked.,6.561366 -0.02983722 0.5575101,270.2564 166.6829 195.4766,0,False
1741261737553,,,,,,ItemDropped,Item Book_42 Dropped.,11.97466 0.994636 -1.069045,16.9827 259.2459 4.755062,0,False
1741261744571,,,,,,ItemPicked,Item Book_42 Picked.,14.59604 -0.03064853 -1.432052,270.2769 2.595017 263.3645,0,False
1741261748892,,,,,,ItemDropped,Item Book_42 Dropped.,12.48303 0.6677479 -1.279195,331.0905 142.2866 190.374,0,False
1741261757622,,,,,,ItemPicked,Item Book_07 Picked.,4.47487 0.7161518 -2.0566,270 353.4832 0,0,False
1741261762908,,,,,,ItemDropped,Item Book_07 Dropped.,7.823804 0.9719731 -3.936222,301.1969 290.5989 162.1388,0,False
1741261765884,,,,,,ItemPicked,Item Book_07 Picked.,9.747945 0.00695879 -2.82623,89.88635 30.37216 0,0,False
1741261766761,,,,,,ItemDropped,Item Book_07 Dropped.,9.562193 0.8710291 -2.815316,57.74067 58.71251 24.73095,0,False
1741261768638,,,,,,ItemPicked,Item Book_07 Picked.,10.84855 -0.03021453 -2.066263,270.1101 73.64436 0,0,False
1741261770837,,,,,,ItemDropped,Item Book_07 Dropped.,12.16406 1.010597 -1.226233,348.5705 296.0277 88.82863,0,False
1741261776079,,,,,,ItemPicked,Item Book_10 Picked.,4.570456 0.7161552 -0.6410576,270 356.503 0,0,False
1741261778633,,,,,,ItemDropped,Item Book_10 Dropped.,7.720636 1.139111 -2.247753,347.2671 273.7579 132.3467,0,False
1741261781043,,,,,,ItemPicked,Item Book_10 Picked.,10.21064 -0.03015701 -1.799806,270.1998 71.61883 236.5401,0,False
1741261782673,,,,,,ItemDropped,Item Book_10 Dropped.,10.10036 1.009522 -1.2207,3.430695 235.2028 333.8988,0,False
1741261785929,,,,,,ItemPicked,Item Book_10 Picked.,13.21127 -0.02995533 -0.2450593,270 142.1828 0,0,False
1741261787207,,,,,,ItemDropped,Item Book_10 Dropped.,12.40652 0.9956938 -1.281304,319.2696 291.5522 174.1484,0,False
1741261809557,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
1741261817714,,,,,,SimulationStarted,Earthquake Simulation Started,0 0 0,0 0 0,0,False
1741261817714,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817720,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817723,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817725,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817727,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817730,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817732,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261817735,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818083,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818100,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818126,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818140,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818167,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818183,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818197,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818224,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818239,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818267,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818281,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818296,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818324,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818339,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818369,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818386,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818400,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818426,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
1741261818440,,,,,,RealtimeData,,0.1586757 -7.152557E-07 1.647783,0 180 0,0,False
