Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1743153468130,0, 0,78,T24138,Group 3,,,,,,
1743153024485,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1743153121225,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1743153123178,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1743153271468,,,,,,ItemPicked,Item monitor Picked.,9.711261 0.6856549 -4.121235,270 75.00191 0,0,False
1743153271653,,,,,,ItemDropped,Item monitor Dropped.,9.705222 0.6930056 -4.089643,271.2342 274.5653 161.5452,0,False
1743153272318,,,,,,ItemPicked,Item monitor Picked.,9.705044 0.685654 -4.089678,270 76.10684 0,0,False
1743153272407,,,,,,ItemDropped,Item monitor Dropped.,9.699781 0.683412 -4.090097,270.5312 90.89588 345.7924,0,False
1743153275238,,,,,,ItemPicked,Item monitor Picked.,9.699772 0.6856923 -4.090031,270.028 76.64973 0,0,False
1743153275349,,,,,,ItemDropped,Item monitor Dropped.,9.560938 0.7168788 -3.74492,274.5967 101.3536 335.3014,0,False
1743153327157,,,,,,ItemPicked,Item monitor Picked.,8.110053 0.09438037 -3.54758,11.22698 342.9973 90.04706,0,False
1743153327290,,,,,,ItemDropped,Item monitor Dropped.,8.083258 0.1121962 -3.477334,11.34993 343.584 90.43744,0,False
1743153327668,,,,,,ItemPicked,Item monitor Picked.,8.081859 0.09397984 -3.478834,11.14912 343.6508 90.02731,0,False
1743153328645,,,,,,ItemDropped,Item monitor Dropped.,8.191922 0.3330181 -3.393025,24.73935 331.3786 79.34486,0,False
1743153330200,,,,,,ItemPicked,Item monitor Picked.,8.300381 0.09398021 -3.40834,11.14922 326.3351 90.02725,0,False
1743153330778,,,,,,ItemDropped,Item monitor Dropped.,8.313743 0.297588 -3.36588,20.85958 320.083 81.64797,0,False
1743153335209,,,,,,ItemPicked,Item monitor Picked.,8.333482 0.09437939 -3.389511,11.22769 320.2148 90.05103,0,False
1743153336541,,,,,,ItemDropped,Item monitor Dropped.,8.148603 0.1975991 -3.321391,19.25746 331.9818 89.91871,0,False
1743153339229,,,,,,ItemPicked,Item monitor Picked.,8.107566 0.0939796 -3.330405,11.14914 335.2775 90.02723,0,False
1743153341184,,,,,,ItemDropped,Item monitor Dropped.,8.81222 0.6716809 -3.354584,30.29982 262.5542 62.23225,0,False
1743153344204,,,,,,ItemPicked,Item monitor Picked.,8.965766 0.09437199 -3.446268,11.2252 268.9547 90.04807,0,False
1743153344693,,,,,,ItemPicked,Item monitor Picked.,8.917398 0.1549735 -3.440864,16.26932 268.2114 90.26197,0,False
1743153344837,,,,,,ItemDropped,Item monitor Dropped.,8.991405 0.1444133 -3.228694,9.557005 243.0612 83.75674,0,False
1743153344926,,,,,,ItemPicked,Item monitor Picked.,8.98851 0.1622998 -3.224261,10.49784 242.417 82.79906,0,False
1743153345105,,,,,,ItemDropped,Item monitor Dropped.,8.99218 0.1761223 -3.207498,8.030182 240.6766 79.83761,0,False
1743153346104,,,,,,ItemDropped,Item monitor Dropped.,9.044799 1.088781 -3.136176,12.45735 229.9594 74.8696,0,False
1743153352344,,,,,,ItemPicked,Item monitor Picked.,9.110834 0.09397903 -3.108539,11.14936 225.6181 90.02727,0,False
1743153352456,,,,,,ItemDropped,Item monitor Dropped.,8.881119 0.5318242 -3.089722,11.00095 227.4314 91.19462,0,False
1743153352646,,,,,,ItemPicked,Item monitor Picked.,8.907047 0.3074493 -3.12346,10.7303 230.7041 93.23758,0,False
1743153357653,,,,,,ItemObserved,Observed monitor,9.53879 0.7405809 -4.351817,9.586535 203.5448 62.80794,0,False
1743153357909,,,,,,ItemDropped,Item monitor Dropped.,9.757934 0.8158398 -3.884634,8.688005 204.0943 63.87654,0,False
1743153365016,,,,,,ItemPicked,Item monitor Picked.,10.02289 0.80992 -4.028882,11.17022 199.3941 89.9987,0,False
1743153365793,,,,,,ItemDropped,Item monitor Dropped.,9.952267 0.7342773 -4.05192,324.2838 203.8953 93.25535,0,False
1743153368992,,,,,,ItemPicked,Item monitor Picked.,9.42044 -0.02999879 -3.868087,270 151.3366 0,0,False
1743153371212,,,,,,ItemDropped,Item monitor Dropped.,10.27117 0.7683709 -4.311008,322.8416 288.8428 161.6616,0,False
1743153374679,,,,,,ItemPicked,Item monitor Picked.,9.649445 0.09844387 -3.945533,19.21119 67.72649 269.9561,0,False
1743153374802,,,,,,ItemDropped,Item monitor Dropped.,9.599626 0.2576188 -3.9374,21.86155 65.9153 271.8213,0,False
1743153375223,,,,,,ItemPicked,Item monitor Picked.,9.605089 0.09973861 -3.972216,19.48886 61.88119 269.9342,0,False
1743153381086,,,,,,ItemDropped,Item monitor Dropped.,10.71035 0.6872175 -4.142891,283.125 136.2459 189.5288,0,False
1743153384929,,,,,,EntryUnderTable,Player entered the sitting zone.,11.33875 0.230329 -3.769769,270 39.76785 0,0,False
1743153385328,,,,,,ExitUnderTable,Player exited the sitting zone.,11.33875 0.230329 -3.769769,270 39.76785 0,0,False
1743153388482,,,,,,ItemPicked,Item monitor Picked.,10.44144 0.1007936 -4.346738,327.1449 13.57847 322.586,0,False
1743153389015,,,,,,ItemDropped,Item monitor Dropped.,10.57695 0.1110581 -4.193917,316.3308 6.972219 335.2407,0,False
1743153389172,,,,,,ItemPicked,Item monitor Picked.,10.63042 0.0828692 -4.212124,313.1607 1.720181 333.8748,0,False
1743153389693,,,,,,ItemDropped,Item monitor Dropped.,10.81615 0.1306948 -3.963901,295.5178 300.9995 49.01645,0,False
1743153412582,,,,,,ItemPicked,Item spiral notebook Picked.,8.176481 0.6982027 -4.092768,0.02005018 348.0489 359.9418,0,False
1743153412692,,,,,,ItemDropped,Item spiral notebook Dropped.,8.141981 0.7690433 -3.960465,0.08038425 348.7973 357.9577,0,False
1743153414370,,,,,,ItemPicked,Item spiral notebook Picked.,8.129969 0.6981966 -3.959391,0.01429091 349.5403 -0.004725044,0,False
1743153416480,,,,,,ItemDropped,Item spiral notebook Dropped.,8.426775 0.7155353 -4.163182,352.164 331.4001 0.8620729,0,False
1743153419778,,,,,,ItemPicked,Item spiral notebook Picked.,8.425545 0.6980813 -4.161196,359.9822 331.4551 359.9738,0,False
1743153424786,,,,,,ItemObserved,Observed spiral notebook,8.202046 1.149805 -3.925904,19.98769 332.0516 4.589754,0,False
1743153428141,,,,,,ItemDropped,Item spiral notebook Dropped.,8.401937 0.6882758 -4.145715,351.6877 330.5863 5.127079,0,False
1743153440235,,,,,,ItemPicked,Item Cup Picked.,7.189389 0.7293293 -3.893301,1.501365 5.804811 6.260169,0,False
1743153441601,,,,,,ItemDropped,Item Cup Dropped.,6.978535 0.799464 -3.964413,22.30635 8.2466 337.9576,0,False
1743153441724,,,,,,ItemPicked,Item Cup Picked.,6.954616 0.7247806 -3.99524,358.861 8.592728 355.9318,0,False
1743153444333,,,,,,ItemDropped,Item Cup Dropped.,6.985396 0.7025869 -3.938441,307.0598 352.3762 20.2509,0,False
1743153447343,,,,,,ItemPicked,Item PencilViolett Picked.,7.072819 0.6882219 -3.864331,32.94577 210.8861 90.4455,0,False
1743153449020,,,,,,ItemDropped,Item PencilViolett Dropped.,6.981264 0.9062246 -3.931152,5.683024 160.1346 352.682,0,False
1743153455162,,,,,,ItemPicked,Item PencilLightGreen Picked.,7.119684 0.6886182 -3.809934,28.65884 272.9604 89.92545,0,False
1743153455993,,,,,,ItemDropped,Item PencilLightGreen Dropped.,6.933531 0.7137381 -3.863411,46.70081 291.1494 98.66942,0,False
1743153457205,,,,,,ItemPicked,Item PencilBlue Picked.,7.134832 0.6886387 -3.814563,27.04826 266.8884 89.92862,0,False
1743153457960,,,,,,ItemDropped,Item PencilBlue Dropped.,6.901588 0.7230539 -3.885157,41.71155 287.9941 100.5772,0,False
1743153458992,,,,,,ItemPicked,Item PencilOrange Picked.,7.124434 0.688755 -3.920205,25.01241 242.7334 90.06092,0,False
1743153459559,,,,,,ItemDropped,Item PencilOrange Dropped.,6.939361 0.7552682 -3.876484,27.0125 261.1714 86.19617,0,False
1743153467815,,,,,,TrainingEnded,Training Ended,0 0 0,0 0 0,0,False
