Time,Score,Penalty,ID,RollNumber,Group,EventType,EventDescription,EventPosition(X Y Z),EventRotation(X Y Z),EarthquakeMagnitude,PlayerSeated
1742361687524,10, 0,testg3,testg3,Group 3,,,,,,
1742361189752,,,,,,TrainingStarted,Training Started,0 0 0,0 0 0,0,False
1742361333778,,,,,,EntryUnderTable,Player entered the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742361335356,,,,,,ExitUnderTable,Player exited the sitting zone.,5.227 0.683 2.29,0 270.0002 0,0,False
1742361355074,,,,,,ItemPicked,Item monitor Picked.,9.711241 0.6857678 -4.120914,270 74.98804 0,0,False
1742361355174,,,,,,ItemDropped,Item monitor Dropped.,9.635091 0.7539355 -3.545699,270.0862 74.79913 0,0,False
1742361356236,,,,,,ItemPicked,Item monitor Picked.,9.638906 -0.03027143 -3.54722,270.0862 74.04433 0,0,False
1742361361243,,,,,,ItemObserved,Observed monitor,9.634238 1.09773 -3.414738,316.2956 351.7461 64.52013,0,False
1742361364364,,,,,,ItemDropped,Item monitor Dropped.,9.280253 -0.07936797 -3.107721,275.6238 230.1606 261.6166,0,False
1742361364585,,,,,,ItemPicked,Item monitor Picked.,9.280311 -0.03009556 -3.106992,270.1978 259.6331 232.2296,0,False
1742361364718,,,,,,ItemDropped,Item monitor Dropped.,9.268166 -0.009245098 -3.11763,270.6052 63.38608 68.64946,0,False
1742361369151,,,,,,ItemPicked,Item monitor Picked.,9.265073 -0.0299964 -3.118479,270 132.1104 0,0,False
1742361372215,,,,,,ItemDropped,Item monitor Dropped.,9.427067 -0.0362719 -3.205423,277.7449 208.566 261.0502,0,False
1742361375802,,,,,,ItemPicked,Item spiral notebook Picked.,8.176329 0.698102 -4.09328,359.9814 348.023 359.9699,0,False
1742361380810,,,,,,ItemObserved,Observed spiral notebook,8.232212 0.8998974 -3.851409,10.02302 344.6781 10.97236,0,False
1742361381056,,,,,,ItemDropped,Item spiral notebook Dropped.,8.30837 0.8095351 -4.037461,9.497068 344.5401 10.25808,0,False
1742361385499,,,,,,ItemPicked,Item PencilLightBlue Picked.,7.276231 0.6886561 -3.8743,89.69353 281.3585 80.47013,0,False
1742361386016,,,,,,ItemDropped,Item PencilLightBlue Dropped.,7.259796 0.8789115 -3.860429,79.74026 246.4966 46.97744,0,False
1742361386141,,,,,,ItemPicked,Item PencilLightBlue Picked.,7.245192 0.830154 -3.874466,74.93188 249.2442 50.2125,0,False
1742361387829,,,,,,ItemDropped,Item PencilLightBlue Dropped.,7.19178 0.8289815 -3.900481,15.3451 303.8695 158.3569,0,False
1742361389864,,,,,,ItemPicked,Item PencilRed Picked.,7.268569 0.6888384 -3.860924,335.937 110.0405 269.8827,0,False
1742361394871,,,,,,ItemObserved,Observed PencilRed,7.077292 0.815421 -3.879603,346.5197 15.90118 250.9713,0,False
1742361395338,,,,,,ItemDropped,Item PencilRed Dropped.,7.015388 0.7783954 -3.974202,10.01986 23.94185 199.605,0,False
1742361396238,,,,,,ItemPicked,Item Cup Picked.,7.31019 0.7330583 -3.867034,5.105607 246.2163 179.4908,0,False
1742361396410,,,,,,ItemDropped,Item Cup Dropped.,7.299843 0.7810323 -3.850614,0.5766234 243.5645 174.517,0,False
1742361396632,,,,,,ItemPicked,Item Cup Picked.,7.312613 0.7234619 -3.869251,0.1272285 241.7407 181.7842,0,False
1742361398413,,,,,,ItemDropped,Item Cup Dropped.,7.039055 0.6711329 -4.137905,280.0622 260.5625 166.8839,0,False
1742361402257,,,,,,ItemPicked,Item PencilOrange Picked.,7.153569 0.6887694 -4.019632,333.5027 290.0487 270.0676,0,False
1742361407264,,,,,,ItemObserved,Observed PencilOrange,7.021477 0.7720903 -4.096856,348.5958 142.1963 2.015595,0,False
1742361409120,,,,,,ItemDropped,Item PencilOrange Dropped.,6.936055 0.810382 -3.974387,305.1068 188.1919 353.1476,0,False
1742361409797,,,,,,ItemPicked,Item Cup Picked.,7.072532 0.7232226 -4.017709,0.09749748 209.4261 180.3557,0,False
1742361410996,,,,,,ItemDropped,Item Cup Dropped.,7.115267 0.7035915 -4.009037,295.4138 237.4778 188.6858,0,False
1742361412062,,,,,,ItemPicked,Item PencilLightBlue Picked.,7.257714 0.688891 -3.816401,86.67634 77.99753 268.9438,0,False
1742361412327,,,,,,ItemDropped,Item PencilLightBlue Dropped.,7.21279 0.7164167 -3.822019,86.2308 120.4506 311.595,0,False
1742361412806,,,,,,ItemPicked,Item PencilLightBlue Picked.,7.215122 0.6888514 -3.820623,89.37693 79.28897 270.2176,0,False
1742361415327,,,,,,ItemDropped,Item PencilLightBlue Dropped.,7.057726 0.8914141 -4.105984,356.2064 141.3833 346.6893,0,False
1742361416760,,,,,,ItemPicked,Item PencilGreen Picked.,7.272962 0.688677 -4.030654,328.6735 357.2266 90.03248,0,False
1742361418181,,,,,,ItemDropped,Item PencilGreen Dropped.,7.033678 1.003893 -4.123975,343.8348 8.122304 23.3322,0,False
1742361419426,,,,,,ItemPicked,Item PencilBlack Picked.,7.079586 0.6886245 -3.870194,330.9221 97.55691 270.0204,0,False
1742361421058,,,,,,ItemDropped,Item PencilBlack Dropped.,7.033993 0.9623265 -4.115823,332.3636 33.27047 10.87665,0,False
1742361424923,,,,,,ItemPicked,Item Book_07 Picked.,4.476709 0.7161503 -3.015276,270 0.1829044 0,0,False
1742361429930,,,,,,ItemObserved,Observed Book_07,11.37059 0.9177806 -0.7706563,315.7231 318.9994 248.7963,0,False
